Name, Org Name, Total Networks Searched, Total Devices Searched, Time Frame, License Plate, Reason, Case #, Filters, Search Time, Search Type, Text Prompt, Moderation
Lauren Hill,Champaign IL PD,1415,20915,"08/25/2025, 02:39:51 PM UTC
09/01/2025, 02:39:51 PM UTC",EF60048,C25-29891,,,"09/01/2025, 02:39:53 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20915,"08/25/2025, 02:40:30 PM UTC
09/01/2025, 02:40:30 PM UTC",DU94618,C25-29891,,,"09/01/2025, 02:40:32 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20915,"08/25/2025, 02:41:04 PM UTC
09/01/2025, 02:41:04 PM UTC",AE42061,C25-29891,,,"09/01/2025, 02:41:06 PM UTC",lookup,,
Lauren Hill,Champaign IL PD,1415,20915,"08/25/2025, 02:42:07 PM UTC
09/01/2025, 02:42:07 PM UTC",EF89678,C25-29891,,,"09/01/2025, 02:42:09 PM UTC",lookup,,
Corey Phenicie,Champaign IL PD,3,81,"08/28/2025, 10:00:00 PM UTC
08/28/2025, 11:30:00 PM UTC",,Homicide,C25-29891,illinois,"09/01/2025, 02:43:12 PM UTC",search,,
Corey Phenicie,Champaign IL PD,3,81,"09/01/2025, 01:00:16 PM UTC
09/01/2025, 03:00:16 PM UTC",,Homicide,C25-29891,,"09/01/2025, 02:43:17 PM UTC",search,,
Corey Phenicie,Champaign IL PD,3,81,"08/26/2025, 10:00:00 PM UTC
08/26/2025, 11:30:00 PM UTC",,Homicide,C25-29891,illinois,"09/01/2025, 02:44:01 PM UTC",search,,
Lauren Hill,Champaign IL PD,1415,20915,"08/25/2025, 02:44:02 PM UTC
09/01/2025, 02:44:02 PM UTC",AS31338,C25-29891,,,"09/01/2025, 02:44:03 PM UTC",lookup,,
Corey Phenicie,Champaign IL PD,3,81,"08/26/2025, 10:00:00 PM UTC
08/26/2025, 11:30:00 PM UTC",,Homicide,C25-29891,Nissanbrownillinois,"09/01/2025, 02:44:30 PM UTC",search,,
Lauren Hill,Champaign IL PD,1415,20915,"08/25/2025, 02:44:31 PM UTC
09/01/2025, 02:44:31 PM UTC",BF12604,C25-29891,,,"09/01/2025, 02:44:33 PM UTC",lookup,,
